r, theta, phi, ground_track_beam_radius, ground_track_beam_area, v_r, v_theta, v_phi, beamwidth, v_groundtrack
37363701.96205993, 35.258050819686424, 45.10095709894372, 2406.314225074552, 18190915.209126804, 2322.5946783569093, -0.0026336036451411987, 0.005531661360634498, 0.004449812006670223, 108.83086118443238
37638483.425764106, 34.948674800077484, 45.768605945577654, 2427.6548171609275, 18515001.157965202, 2294.9824162651403, -0.0025839171079640286, 0.005576221709460604, 0.004449812006670222, 106.53621163856619
37909874.66656374, 34.645204755092884, 46.441649840940755, 2448.732111413773, 18837897.3250197, 2266.6671804109624, -0.0025345902438770034, 0.005621281306281343, 0.004449812006670223, 104.26531811683142
38177792.55487996, 34.34760027215031, 47.12014535858282, 2469.539651668217, 19159398.924984254, 2237.6576440053045, -0.002485600906799839, 0.005666813406961196, 0.004449812006670223, 102.01741209903358
38442155.025053084, 34.05582352682587, 47.804145700582836, 2490.071064387472, 19479300.439068496, 2207.962692930761, -0.002436927480361502, 0.005712789852882377, 0.004449812006670223, 99.79175281318673
38702881.10047994, 33.76983921953727, 48.493700522343254, 2510.320060615093, 19797395.80908897, 2177.591423017647, -0.0023885488770148443, 0.0057591810221038165, 0.004449812006670223, 97.58762614912796
38959890.91841784, 33.48961451222331, 49.18885575189339, 2530.2804379013546, 20113478.632987227, 2146.5531372596297, -0.002340444538067285, 0.0058059557835017025, 0.004449812006670223, 95.40434364917563
39213105.75444717, 33.215118964913266, 49.889653404107385, 2549.946082203104, 20427342.361552056, 2114.857342962531, -0.002292594434600711, 0.0058530814542952095, 0.004449812006670223, 93.2412415741039
39462448.04658538, 32.946324472080654, 50.596131390294225, 2569.3109697565533, 20738780.496122465, 2082.513748833138, -0.002244979069271821, 0.005900523761394327, 0.004449812006670223, 91.09768004365306
39707841.41904503, 32.68320519868048, 51.30832332367101, 2588.369168922416, 21047586.787046157, 2049.5322620058514, -0.002197579478956229, 0.00594824680701618, 0.004449812006670223, 88.97304225122038
39949210.705628306, 32.42573751577144, 52.026258321289575, 2607.1148420028194, 21353555.43266665, 2015.9229850068582, -0.0021503772382147276, 0.005996213039063583, 0.004449812006670222, 86.86673375402496
40186481.97275103, 32.17389993563022, 52.749960803042725, 2625.5422470294366, 21656481.27861201, 1981.6962126594956, -0.002103354463535016, 0.00604438322673394, 0.004449812006670222, 84.77818183873765
40419582.54208925, 31.92767304626931, 53.479450288441825, 2643.645739522309, 21956160.01715737, 1946.8624289320594, -0.002056493818314131, 0.006092716441905301, 0.004449812006670223, 82.70683496603239
40648441.01284145, 31.687039445275897, 54.21474119191661, 2661.419774218814, 22252388.386432774, 1911.432303727239, -0.0020097785185283937, 0.006141170046794137, 0.004449812006670223, 80.65216229648637
40872987.28359883, 31.45198367289753, 54.9558426174521, 2678.8589067721987, 22544964.369247347, 1875.4166896093898, -0.001963192339024482, 0.006189699688418717, 0.004449812006670223, 78.61365330242573
